,frame,x,y
52,21,804,394
53,21,815,394
54,21,825,398
55,21,818,411
56,21,809,420
57,21,798,423
58,21,787,424
59,21,773,421
60,21,761,408
61,21,785,402
62,21,795,401
63,21,805,398
64,21,820,399
65,21,807,410
66,21,796,414
67,21,786,414
0,22,691,335
1,22,693,360
2,22,696,384
3,22,703,408
4,22,716,428
5,22,733,447
6,22,751,462
7,22,773,472
8,22,795,471
9,22,815,464
10,22,829,447
11,22,841,428
12,22,851,407
13,22,857,384
14,22,858,361
15,22,856,337
16,22,851,314
17,22,713,313
18,22,719,298
19,22,733,289
20,22,749,287
21,22,764,291
22,22,791,288
23,22,803,280
24,22,816,276
25,22,830,279
26,22,838,289
27,22,781,310
28,22,783,328
29,22,786,344
30,22,789,362
31,22,768,376
32,22,779,377
33,22,790,378
34,22,799,374
35,22,807,369
36,22,728,320
37,22,736,313
38,22,746,311
39,22,755,317
40,22,747,319
41,22,737,321
42,22,803,310
43,22,811,300
44,22,820,298
45,22,827,303
46,22,821,306
47,22,813,308
48,22,752,409
49,22,765,400
50,22,779,395
51,22,791,395
52,22,801,391
53,22,812,391
54,22,823,395
55,22,816,409
56,22,806,419
57,22,795,423
58,22,783,424
59,22,768,420
60,22,757,407
61,22,780,400
62,22,791,399
63,22,802,395
64,22,819,396
65,22,804,409
66,22,793,413
67,22,781,413
0,23,689,339
1,23,690,362
2,23,694,385
3,23,700,408
4,23,713,428
5,23,731,446
6,23,749,461
7,23,770,473
8,23,793,473
9,23,812,465
10,23,826,449
11,23,837,429
12,23,847,408
13,23,855,386
14,23,859,363
15,23,858,340
16,23,854,318
17,23,704,317
18,23,709,300
19,23,723,291
20,23,740,288
21,23,756,293
22,23,785,285
23,23,799,276
24,23,815,274
25,23,830,278
26,23,838,291
27,23,773,312
28,23,775,330
29,23,777,347
30,23,779,366
31,23,758,377
32,23,769,379
33,23,781,381
34,23,792,376
35,23,801,371
36,23,722,322
37,23,728,315
38,23,738,313
39,23,748,319
40,23,740,321
41,23,730,322
42,23,798,310
43,23,806,301
44,23,815,299
45,23,823,303
46,23,817,306
47,23,807,308
48,23,746,409
49,23,757,402
50,23,771,398
51,23,782,398
52,23,793,395
53,23,809,393
54,23,822,396
55,23,813,415
56,23,801,427
57,23,788,430
58,23,776,431
59,23,760,424
60,23,751,409
61,23,772,403
62,23,783,402
63,23,795,399
64,23,818,397
65,23,798,416
66,23,786,420
67,23,774,420
0,24,690,343
1,24,692,366
2,24,695,389
3,24,701,412
4,24,712,431
5,24,730,449
6,24,749,463
7,24,771,472
8,24,794,472
9,24,814,463
10,24,829,447
